Made To Stray	https://open.spotify.com/track/7M0GDtHcuJrTMWtnSs48I3?si=AiFP7tCQSJ-wkstuSiNHPQ	0	0	1	0	1
Relaxed Lizard	https://open.spotify.com/track/7M0GDtHcuJrTMWtnSs48I3?si=AiFP7tCQSJ-wkstuSiNHPQ	1	0	0	1	0
Just Right	https://open.spotify.com/track/6DXg3fN50fZG1OQjbMQWp5?si=_m2LqifqSDyhu-v_HhetIg	1	1	1	0	1
I'll Be Your Mirror	https://open.spotify.com/track/6gwo4sIj1Hw63h2nLN9O2J?si=BcVKSewpQju27XoNO7uy7A	1	0	0	0	0
Only Child	https://open.spotify.com/track/4zMmqb0pYwX6b0qc0slCoT?si=RUQhZdx0T6y3aZVeD7WQxQ	0	0	1	0	0
Everytime	https://open.spotify.com/track/26OyjeAsD6SotHTHfzDuK5?si=eZFhPU0-TTyVoUxfSqqJbw	1	0	1	0	1
Soul II Stro	https://open.spotify.com/track/7l0Ai4PW0s57O7kJ9OO9iU?si=ltrM-hOUSiSHbXgDYm3LfQ	0	1	1	0	0
Can I Kick It?	https://open.spotify.com/track/3Ti0GdlrotgwsAVBBugv0I?si=AhbLc0D5Rla5f_UZJl0UgA	1	0	1	0	1
Baby Love	https://open.spotify.com/track/5uES1C2NgkdrNHiCwf9jRr?si=BOn7-jtcRT69eDzpZxz4iA	1	0	1	1	0








